MainMenu/&StartingLevelRange	{0}-{1}
Quest/&Cradle_Of_Fire_Quest_06_KillRedscarOrcsTitle	Вбити орків Червоної Шрами
Quest/&Cradle_Of_Fire_Quest_06_KillRedscarOrcsDescription	Ви отримали доступ до ринку орків. Щоб звільнити Брока, потрібно позбутися орків, які охороняють його. Орки з племені Червоної Шрами не піддаються торгівлі; вони працюють на Аррока, нового короля під вулканом.
Quest/&Cradle_Of_Fire_Quest_06_KillRedscarOrcs_Outcome1Description	Ви вбили орків Червоної Шрами на ринку.
Quest/&Cradle_Of_Fire_Quest_07_FreeBrokTitle	Визволити Брока
Quest/&Cradle_Of_Fire_Quest_07_FreeBrokDescription	Тепер ви можете остаточно визволити Брока. Ніхто не завадить вам.
Quest/&Cradle_Of_Fire_Quest_07_FreeBrok_Outcome1Description	Ви визволили Брока від його охоронців Червоної Рани.
Quest/&Cradle_Of_Fire_Quest_08_TakeElevatorTitle	Скористатися ліфтом
Quest/&Cradle_Of_Fire_Quest_08_TakeElevatorDescription	Ви уклали угоду з Броком і Кеброю: ви спробуєте об'єднати три орчі племена, які ще не приєдналися до Аррока проти нього. Спустіться в серце вулкана та зустріться з лідерами племен.
Quest/&Cradle_Of_Fire_Quest_08_TakeElevator_Outcome1Description	Ви увійшли в серце вулкана і почали свій пошук несподіваного орчого союзу проти тирана Аррока.
Quest/&Cradle_Of_Fire_Quest_05_FreebrokTitle	Визволити Брока
Quest/&Cradle_Of_Fire_Quest_05_FreebrokDescription	Ви пройшли через ворота і потрапили на ринок. Знайдіть, де тримають Брока в полоні, і визволіть його.
Quest/&Cradle_Of_Fire_Quest_05_Freebrok_Outcome1Description	Ви досягли ринкової зони, де тримали Брока в полоні.
Quest/&Cradle_Of_Fire_Quest_00_GainBladefangSupportTitle	Отримати підтримку племені Блискучого Клинка
Quest/&Cradle_Of_Fire_Quest_00_GainBladefangSupportDescription	Ви зустрілися з Едрофом.
Quest/&Cradle_Of_Fire_Quest_01_ChallengeTitle	Прийняти виклик Едрофа
Quest/&Cradle_Of_Fire_Quest_01_ChallengeDescription	Оберіть персонажа, щоб битися з вождем Кров'яного списа Едрофом до смерті у ритуальному бою. Якщо ви переможете, плем'я Кров'яного списа приєднається до союзу Брока. Обраний боєць може обирати між традиційною зброєю. Під час бою не можна носити броню або накладати закляття. Ви можете підсилити себе та взяти свою зброю, щоб почати бій.
Quest/&Cradle_Of_Fire_Quest_01_Challenge_Outcome1Description	Ви перемогли Едрофа і плем'я Кров'яного списа приєдналося до союзу Брока.
Quest/&CradleOfFire_Bladefang_Title	Оркський союз: Лезапаща
Quest/&Abjuration_Quest_18_FindTheGemLocation_Outcome1Description	Ви досягли підніжжя пагорба з великою вежею вдалеку. Це може бути правильне місце.
Quest/&Abjuration_Quest_18_FindTheGemLocationDescription	Слідуйте за Китаелою у її пошуках місця розташування коштовного каменя.
Quest/&Abjuration_Quest_18_FindTheGemLocationTitle	Знайдіть місце розташування коштовного каменя
Quest/&Abjuration_Quest_19_FindTheTower_Outcome1Description	Ви знайшли вхід до вежі, яку захищає від часу потужна магія, але ви ще не можете увійти.
Quest/&Abjuration_Quest_19_FindTheTowerDescription	Досліджуйте територію навколо пагорба, щоб дізнатися, чи це місце, яке ви шукаєте.
Quest/&Abjuration_Quest_19_FindTheTowerTitle	Досліджуйте оточення
Quest/&Abjuration_Quest_20_FindAPlaceToRest_Outcome1Description	Ви знайшли безпечне місце для відпочинку.
Quest/&Abjuration_Quest_20_FindAPlaceToRestDescription	Знайдіть місце, де можна відпочити до заходу сонця.
Quest/&Abjuration_Quest_20_FindAPlaceToRestTitle	Знайдіть місце для відпочинку
Quest/&Abjuration_Quest_21_RestUntilTheNight_Outcome1Description	Ви прокидаєтеся серед ночі і тепер можете сподіватися повернутися до вежі.
Quest/&Abjuration_Quest_21_RestUntilTheNightDescription	Чекайте або відпочивайте, поки не настане ніч і місяць зможе освітити чарівні камені. Ви можете сісти на ближню лаву або знайти місце для відпочинку поблизу.
Quest/&Abjuration_Quest_21_RestUntilTheNightTitle	Чекати місяць
Quest/&Abjuration_Quest_22_FindAWayToEnterTheTower_Outcome1Description	Вам вдалося відкрити двері, але на вас напали виводки, сподіваючись скористатися цим шансом, щоб самотужки проникнути всередину.
Quest/&Abjuration_Quest_22_FindAWayToEnterTheTowerDescription	Активуйте правильні камені, щоб відкрити двері вежі.
Quest/&Abjuration_Quest_22_FindAWayToEnterTheTowerTitle	Знайдіть спосіб потрапити всередину вежі
Quest/&Abjuration_Quest_23_EnterTheTower_Outcome1Description	Ви увійшли у вежу, але побачили дивну туманність, яка слідувала за вами. Чи це пов'язано з виводками, які напали на вас зовні?
Quest/&Abjuration_Quest_23_EnterTheTowerDescription	Попередньо увійдіть у вежу, перш ніж більше виводків атакуватиме вас.
Quest/&Abjuration_Quest_23_EnterTheTowerTitle	Увійти до вежі
Quest/&Abjuration_Quest_24_FindTheMaster_Outcome1Description	Ви знайшли Майстра Китхели, який володіє коштовним камінням.
